time	species	transcript
1	protein1	0.07
1	protein2	0.12
1	protein3	0.04
2	protein1	0.14
2	protein2	0.24
2	protein3	0.08
3	protein1	0.21000000000000002
3	protein2	0.36
3	protein3	0.12
4	protein1	0.28
4	protein2	0.48
4	protein3	0.16
5	protein1	0.35000000000000003
5	protein2	0.6
5	protein3	0.2
6	protein1	0.42000000000000004
6	protein2	0.72
6	protein3	0.24
7	protein1	0.49000000000000005
7	protein2	0.84
7	protein3	0.28
8	protein1	0.56
8	protein2	0.96
8	protein3	0.32
9	protein1	0.6300000000000001
9	protein2	1.08
9	protein3	0.36
10	protein1	0.7000000000000001
10	protein2	1.2
10	protein3	0.4
11	protein1	0.77
11	protein2	1.3199999999999998
11	protein3	0.44
12	protein1	0.8400000000000001
12	protein2	1.44
12	protein3	0.48
13	protein1	0.9100000000000001
13	protein2	1.56
13	protein3	0.52
14	protein1	0.9800000000000001
14	protein2	1.68
14	protein3	0.56
15	protein1	1.05
15	protein2	1.7999999999999998
15	protein3	0.6
16	protein1	1.12
16	protein2	1.92
16	protein3	0.64
17	protein1	1.1900000000000002
17	protein2	2.04
17	protein3	0.68
18	protein1	1.2600000000000002
18	protein2	2.16
18	protein3	0.72
19	protein1	1.33
19	protein2	2.28
19	protein3	0.76
20	protein1	1.4000000000000001
20	protein2	2.4
20	protein3	0.8
21	protein1	1.4700000000000002
21	protein2	2.52
21	protein3	0.84
22	protein1	1.54
22	protein2	2.6399999999999997
22	protein3	0.88
23	protein1	1.61
23	protein2	2.76
23	protein3	0.92
24	protein1	1.6800000000000002
24	protein2	2.88
24	protein3	0.96
25	protein1	1.7500000000000002
25	protein2	3.0
25	protein3	1.0
26	protein1	1.8200000000000003
26	protein2	3.12
26	protein3	1.04
27	protein1	1.8900000000000001
27	protein2	3.2399999999999998
27	protein3	1.08
28	protein1	1.9600000000000002
28	protein2	3.36
28	protein3	1.12
29	protein1	2.0300000000000002
29	protein2	3.48
29	protein3	1.16
30	protein1	2.1
30	protein2	3.5999999999999996
30	protein3	1.2
31	protein1	2.1700000000000004
31	protein2	3.7199999999999998
31	protein3	1.24
32	protein1	2.24
32	protein2	3.84
32	protein3	1.28
33	protein1	2.31
33	protein2	3.96
33	protein3	1.32
34	protein1	2.3800000000000003
34	protein2	4.08
34	protein3	1.36
35	protein1	2.45
35	protein2	4.2
35	protein3	1.4000000000000001
36	protein1	2.5200000000000005
36	protein2	4.32
36	protein3	1.44
37	protein1	2.5900000000000003
37	protein2	4.4399999999999995
37	protein3	1.48
38	protein1	2.66
38	protein2	4.56
38	protein3	1.52
39	protein1	2.7300000000000004
39	protein2	4.68
39	protein3	1.56
40	protein1	2.8000000000000003
40	protein2	4.8
40	protein3	1.6
41	protein1	2.87
41	protein2	4.92
41	protein3	1.6400000000000001
42	protein1	2.9400000000000004
42	protein2	5.04
42	protein3	1.68
43	protein1	3.0100000000000002
43	protein2	5.16
43	protein3	1.72
44	protein1	3.08
44	protein2	5.279999999999999
44	protein3	1.76
45	protein1	3.1500000000000004
