time	species	transcript
1	protein1	0.04
1	protein2	0.07
1	protein3	0.12
2	protein1	0.08
2	protein2	0.14
2	protein3	0.24
3	protein1	0.12
3	protein2	0.21000000000000002
3	protein3	0.36
4	protein1	0.16
4	protein2	0.28
4	protein3	0.48
5	protein1	0.2
5	protein2	0.35000000000000003
5	protein3	0.6
6	protein1	0.24
6	protein2	0.42000000000000004
6	protein3	0.72
7	protein1	0.28
7	protein2	0.49000000000000005
7	protein3	0.84
8	protein1	0.32
8	protein2	0.56
8	protein3	0.96
9	protein1	0.36
9	protein2	0.6300000000000001
9	protein3	1.08
10	protein1	0.4
10	protein2	0.7000000000000001
10	protein3	1.2
11	protein1	0.44
11	protein2	0.77
11	protein3	1.3199999999999998
12	protein1	0.48
12	protein2	0.8400000000000001
12	protein3	1.44
13	protein1	0.52
13	protein2	0.9100000000000001
13	protein3	1.56
14	protein1	0.56
14	protein2	0.9800000000000001
14	protein3	1.68
15	protein1	0.6
15	protein2	1.05
15	protein3	1.7999999999999998
16	protein1	0.64
16	protein2	1.12
16	protein3	1.92
17	protein1	0.68
17	protein2	1.1900000000000002
17	protein3	2.04
18	protein1	0.72
18	protein2	1.2600000000000002
18	protein3	2.16
19	protein1	0.76
19	protein2	1.33
19	protein3	2.28
20	protein1	0.8
20	protein2	1.4000000000000001
20	protein3	2.4
21	protein1	0.84
21	protein2	1.4700000000000002
21	protein3	2.52
22	protein1	0.88
22	protein2	1.54
22	protein3	2.6399999999999997
23	protein1	0.92
23	protein2	1.61
23	protein3	2.76
24	protein1	0.96
24	protein2	1.6800000000000002
24	protein3	2.88
25	protein1	1.0
25	protein2	1.7500000000000002
25	protein3	3.0
26	protein1	1.04
26	protein2	1.8200000000000003
26	protein3	3.12
27	protein1	1.08
27	protein2	1.8900000000000001
27	protein3	3.2399999999999998
28	protein1	1.12
28	protein2	1.9600000000000002
28	protein3	3.36
29	protein1	1.16
29	protein2	2.0300000000000002
29	protein3	3.48
30	protein1	1.2
30	protein2	2.1
30	protein3	3.5999999999999996
31	protein1	1.24
31	protein2	2.1700000000000004
31	protein3	3.7199999999999998
32	protein1	1.28
32	protein2	2.24
32	protein3	3.84
33	protein1	1.32
33	protein2	2.31
33	protein3	3.96
34	protein1	1.36
34	protein2	2.3800000000000003
34	protein3	4.08
35	protein1	1.4000000000000001
35	protein2	2.45
35	protein3	4.2
36	protein1	1.44
36	protein2	2.5200000000000005
36	protein3	4.32
37	protein1	1.48
37	protein2	2.5900000000000003
37	protein3	4.4399999999999995
38	protein1	1.52
38	protein2	2.66
38	protein3	4.56
39	protein1	1.56
39	protein2	2.7300000000000004
39	protein3	4.68
40	protein1	1.6
40	protein2	2.8000000000000003
40	protein3	4.8
41	protein1	1.6400000000000001
41	protein2	2.87
41	protein3	4.92
42	protein1	1.68
42	protein2	2.9400000000000004
42	protein3	5.04
43	protein1	1.72
43	protein2	3.0100000000000002
43	protein3	5.16
44	protein1	1.76
44	protein2	3.08
44	protein3	5.279999999999999
45	protein1	1.8
45	protein2	3.1500000000000004
45	protein3	5.3999999999999995
46	protein1	1.84
46	protein2	3.22
46	protein3	5.52
47	protein1	1.8800000000000001
47	protein2	3.2900000000000005
47	protein3	5.64
48	protein1	1.92
48	protein2	3.3600000000000003
48	protein3	5.76
49	protein1	1.96
49	protein2	3.43
49	protein3	5.88
50	protein1	2.0
50	protein2	3.5000000000000004
50	protein3	6.0
51	protein1	2.04
51	protein2	3.5700000000000003
51	protein3	6.12
52	protein1	2.08
52	protein2	3.6400000000000006
52	protein3	6.24
53	protein1	2.12
53	protein2	3.7100000000000004
53	protein3	6.359999999999999
54	protein1	2.16
54	protein2	3.7800000000000002
54	protein3	6.4799999999999995
55	protein1	2.2
55	protein2	3.8500000000000005
55	protein3	6.6
56	protein1	2.24
56	protein2	3.9200000000000004
56	protein3	6.72
57	protein1	2.2800000000000002
57	protein2	3.99
57	protein3	6.84
58	protein1	2.32
58	protein2	4.0600000000000005
58	protein3	6.96
59	protein1	2.36
59	protein2	4.130000000000001
59	protein3	7.08
60	protein1	2.4
60	protein2	4.2
60	protein3	7.199999999999999
61	protein1	2.44
61	protein2	4.2700000000000005
61	protein3	7.319999999999999
62	protein1	2.48
62	protein2	4.340000000000001
62	protein3	7.4399999999999995
63	protein1	2.52
63	protein2	4.41
63	protein3	7.56
64	protein1	2.56
64	protein2	4.48
64	protein3	7.68
65	protein1	2.6
65	protein2	4.550000000000001
65	protein3	7.8
66	protein1	2.64
66	protein2	4.62
66	protein3	7.92
67	protein1	2.68
67	protein2	4.69
67	protein3	8.04
68	protein1	2.72
68	protein2	4.760000000000001
68	protein3	8.16
69	protein1	2.7600000000000002
69	protein2	4.83
69	protein3	8.28
70	protein1	2.8000000000000003
70	protein2	4.9
70	protein3	8.4
71	protein1	2.84
71	protein2	4.970000000000001
71	protein3	8.52
72	protein1	2.88
72	protein2	5.040000000000001
72	protein3	8.64
73	protein1	2.92
