time	species	transcript
1	protein1	0.11
1	protein2	0.16
1	protein3	0.04
2	protein1	0.22
2	protein2	0.32
2	protein3	0.08
3	protein1	0.33
3	protein2	0.48
3	protein3	0.12
4	protein1	0.44
4	protein2	0.64
4	protein3	0.16
5	protein1	0.55
5	protein2	0.8
5	protein3	0.2
6	protein1	0.66
6	protein2	0.96
6	protein3	0.24
7	protein1	0.77
7	protein2	1.12
7	protein3	0.28
8	protein1	0.88
8	protein2	1.28
8	protein3	0.32
9	protein1	0.99
9	protein2	1.44
9	protein3	0.36
10	protein1	1.1
10	protein2	1.6
10	protein3	0.4
11	protein1	1.21
11	protein2	1.76
11	protein3	0.44
12	protein1	1.32
12	protein2	1.92
12	protein3	0.48
13	protein1	1.43
13	protein2	2.08
13	protein3	0.52
14	protein1	1.54
14	protein2	2.24
14	protein3	0.56
15	protein1	1.65
15	protein2	2.4
15	protein3	0.6
16	protein1	1.76
16	protein2	2.56
16	protein3	0.64
17	protein1	1.87
17	protein2	2.72
17	protein3	0.68
18	protein1	1.98
18	protein2	2.88
18	protein3	0.72
19	protein1	2.09
19	protein2	3.04
19	protein3	0.76
20	protein1	2.2
20	protein2	3.2
20	protein3	0.8
21	protein1	2.31
21	protein2	3.36
21	protein3	0.84
22	protein1	2.42
22	protein2	3.52
22	protein3	0.88
23	protein1	2.53
23	protein2	3.68
23	protein3	0.92
24	protein1	2.64
24	protein2	3.84
24	protein3	0.96
25	protein1	2.75
25	protein2	4.0
25	protein3	1.0
26	protein1	2.86
26	protein2	4.16
26	protein3	1.04
27	protein1	2.97
27	protein2	4.32
27	protein3	1.08
28	protein1	3.08
28	protein2	4.48
28	protein3	1.12
29	protein1	3.19
29	protein2	4.64
29	protein3	1.16
30	protein1	3.3
30	protein2	4.8
30	protein3	1.2
31	protein1	3.41
31	protein2	4.96
31	protein3	1.24
32	protein1	3.52
32	protein2	5.12
32	protein3	1.28
33	protein1	3.63
33	protein2	5.28
33	protein3	1.32
34	protein1	3.74
34	protein2	5.44
34	protein3	1.36
35	protein1	3.85
35	protein2	5.6000000000000005
35	protein3	1.4000000000000001
36	protein1	3.96
36	protein2	5.76
36	protein3	1.44
37	protein1	4.07
37	protein2	5.92
37	protein3	1.48
38	protein1	4.18
38	protein2	6.08
38	protein3	1.52
39	protein1	4.29
39	protein2	6.24
39	protein3	1.56
40	protein1	4.4
40	protein2	6.4
40	protein3	1.6
41	protein1	4.51
41	protein2	6.5600000000000005
41	protein3	1.6400000000000001
42	protein1	4.62
42	protein2	6.72
42	protein3	1.68
43	protein1	4.73
43	protein2	6.88
43	protein3	1.72
44	protein1	4.84
44	protein2	7.04
44	protein3	1.76
45	protein1	4.95
45	protein2	7.2
45	protein3	1.8
46	protein1	5.06
46	protein2	7.36
46	protein3	1.84
47	protein1	5.17
47	protein2	7.5200000000000005
47	protein3	1.8800000000000001
48	protein1	5.28
48	protein2	7.68
48	protein3	1.92
49	protein1	5.39
49	protein2	7.84
49	protein3	1.96
50	protein1	5.5
50	protein2	8.0
50	protein3	2.0
51	protein1	5.61
51	protein2	8.16
51	protein3	2.04
52	protein1	5.72
52	protein2	8.32
52	protein3	2.08
53	protein1	5.83
53	protein2	8.48
53	protein3	2.12
54	protein1	5.94
54	protein2	8.64
54	protein3	2.16
55	protein1	6.05
55	protein2	8.8
55	protein3	2.2
56	protein1	6.16
56	protein2	8.96
56	protein3	2.24
57	protein1	6.2700000000000005
57	protein2	9.120000000000001
57	protein3	2.2800000000000002
58	protein1	6.38
58	protein2	9.28
58	protein3	2.32
59	protein1	6.49
59	protein2	9.44
59	protein3	2.36
60	protein1	6.6
60	protein2	9.6
60	protein3	2.4
61	protein1	6.71
61	protein2	9.76
61	protein3	2.44
62	protein1	6.82
62	protein2	9.92
62	protein3	2.48
63	protein1	6.93
63	protein2	10.08
63	protein3	2.52
64	protein1	7.04
64	protein2	10.24
64	protein3	2.56
65	protein1	7.15
65	protein2	10.4
65	protein3	2.6
66	protein1	7.26
66	protein2	10.56
66	protein3	2.64
67	protein1	7.37
67	protein2	10.72
67	protein3	2.68
68	protein1	7.48
68	protein2	10.88
68	protein3	2.72
69	protein1	7.59
69	protein2	11.040000000000001
69	protein3	2.7600000000000002
70	protein1	7.7
70	protein2	11.200000000000001
70	protein3	2.8000000000000003
71	protein1	7.81
71	protein2	11.36
71	protein3	2.84
72	protein1	7.92
72	protein2	11.52
72	protein3	2.88
73	protein1	8.03
73	protein2	11.68
73	protein3	2.92
74	protein1	8.14
74	protein2	11.84
74	protein3	2.96
75	protein1	8.25
75	protein2	12.0
75	protein3	3.0
76	protein1	8.36
76	protein2	12.16
76	protein3	3.04
77	protein1	8.47
77	protein2	12.32
77	protein3	3.08
78	protein1	8.58
78	protein2	12.48
78	protein3	3.12
79	protein1	8.69
79	protein2	12.64
79	protein3	3.16
80	protein1	8.8
80	protein2	12.8
80	protein3	3.2
81	protein1	8.91
81	protein2	12.96
81	protein3	3.24
82	protein1	9.02
82	protein2	13.120000000000001
82	protein3	3.2800000000000002
83	protein1	9.13
83	protein2	13.280000000000001
83	protein3	3.3200000000000003
84	protein1	9.24
84	protein2	13.44
84	protein3	3.36
85	protein1	9.35
85	protein2	13.6
85	protein3	3.4
86	protein1	9.46
86	protein2	13.76
86	protein3	3.44
87	protein1	9.57
87	protein2	13.92
87	protein3	3.48
88	protein1	9.68
88	protein2	14.08
88	protein3	3.52
89	protein1	9.790000000000001
89	protein2	14.24
89	protein3	3.56
90	protein1	9.9
90	protein2	14.4
90	protein3	3.6
91	protein1	10.01
91	protein2	14.56
91	protein3	3.64
92	protein1	10.12
92	protein2	14.72
92	protein3	3.68
93	protein1	10.23
93	protein2	14.88
93	protein3	3.72
94	protein1	10.34
94	protein2	15.040000000000001
94	protein3	3.7600000000000002
95	protein1	10.45
95	protein2	15.200000000000001
95	protein3	3.8000000000000003
96	protein1	10.56
96	protein2	15.36
96	protein3	3.84
97	protein1	10.67
97	protein2	15.52
97	protein3	3.88
98	protein1	10.78
98	protein2	15.68
98	protein3	3.92
99	protein1	10.89
99	protein2	15.84
99	protein3	3.96
100	protein1	11.0
100	protein2	16.0
100	protein3	4.0
101	protein1	11.11
101	protein2	16.16
101	protein3	4.04
102	protein1	11.22
102	protein2	16.32
102	protein3	4.08
103	protein1	11.33
103	protein2	16.48
