time	species	transcript
1	protein1	0.04
1	protein2	0.1
1	protein3	0.17
2	protein1	0.08
2	protein2	0.2
2	protein3	0.34
3	protein1	0.12
3	protein2	0.30000000000000004
3	protein3	0.51
4	protein1	0.16
4	protein2	0.4
4	protein3	0.68
5	protein1	0.2
5	protein2	0.5
5	protein3	0.8500000000000001
6	protein1	0.24
6	protein2	0.6000000000000001
6	protein3	1.02
7	protein1	0.28
7	protein2	0.7000000000000001
7	protein3	1.1900000000000002
8	protein1	0.32
8	protein2	0.8
8	protein3	1.36
9	protein1	0.36
9	protein2	0.9
9	protein3	1.53
10	protein1	0.4
10	protein2	1.0
10	protein3	1.7000000000000002
11	protein1	0.44
11	protein2	1.1
11	protein3	1.87
12	protein1	0.48
12	protein2	1.2000000000000002
12	protein3	2.04
13	protein1	0.52
13	protein2	1.3
13	protein3	2.21
14	protein1	0.56
14	protein2	1.4000000000000001
14	protein3	2.3800000000000003
15	protein1	0.6
15	protein2	1.5
15	protein3	2.5500000000000003
16	protein1	0.64
16	protein2	1.6
16	protein3	2.72
17	protein1	0.68
17	protein2	1.7000000000000002
17	protein3	2.89
18	protein1	0.72
18	protein2	1.8
18	protein3	3.06
19	protein1	0.76
19	protein2	1.9000000000000001
19	protein3	3.2300000000000004
20	protein1	0.8
20	protein2	2.0
20	protein3	3.4000000000000004
21	protein1	0.84
21	protein2	2.1
21	protein3	3.5700000000000003
22	protein1	0.88
22	protein2	2.2
22	protein3	3.74
23	protein1	0.92
23	protein2	2.3000000000000003
23	protein3	3.91
24	protein1	0.96
24	protein2	2.4000000000000004
24	protein3	4.08
25	protein1	1.0
25	protein2	2.5
25	protein3	4.25
26	protein1	1.04
26	protein2	2.6
26	protein3	4.42
27	protein1	1.08
27	protein2	2.7
27	protein3	4.590000000000001
28	protein1	1.12
28	protein2	2.8000000000000003
28	protein3	4.760000000000001
29	protein1	1.16
29	protein2	2.9000000000000004
29	protein3	4.930000000000001
30	protein1	1.2
30	protein2	3.0
30	protein3	5.1000000000000005
31	protein1	1.24
31	protein2	3.1
31	protein3	5.2700000000000005
32	protein1	1.28
32	protein2	3.2
32	protein3	5.44
33	protein1	1.32
33	protein2	3.3000000000000003
33	protein3	5.61
34	protein1	1.36
34	protein2	3.4000000000000004
34	protein3	5.78
35	protein1	1.4000000000000001
35	protein2	3.5
35	protein3	5.95
36	protein1	1.44
36	protein2	3.6
36	protein3	6.12
37	protein1	1.48
37	protein2	3.7
37	protein3	6.29
38	protein1	1.52
38	protein2	3.8000000000000003
38	protein3	6.460000000000001
39	protein1	1.56
39	protein2	3.9000000000000004
39	protein3	6.630000000000001
40	protein1	1.6
40	protein2	4.0
40	protein3	6.800000000000001
41	protein1	1.6400000000000001
41	protein2	4.1000000000000005
41	protein3	6.970000000000001
42	protein1	1.68
42	protein2	4.2
42	protein3	7.140000000000001
43	protein1	1.72
43	protein2	4.3
43	protein3	7.3100000000000005
44	protein1	1.76
44	protein2	4.4
44	protein3	7.48
45	protein1	1.8
45	protein2	4.5
45	protein3	7.65
46	protein1	1.84
46	protein2	4.6000000000000005
46	protein3	7.82
47	protein1	1.8800000000000001
47	protein2	4.7
47	protein3	7.99
48	protein1	1.92
48	protein2	4.800000000000001
48	protein3	8.16
49	protein1	1.96
49	protein2	4.9
49	protein3	8.33
50	protein1	2.0
50	protein2	5.0
50	protein3	8.5
51	protein1	2.04
51	protein2	5.1000000000000005
51	protein3	8.67
52	protein1	2.08
52	protein2	5.2
52	protein3	8.84
53	protein1	2.12
53	protein2	5.300000000000001
53	protein3	9.01
54	protein1	2.16
54	protein2	5.4
54	protein3	9.180000000000001
55	protein1	2.2
55	protein2	5.5
55	protein3	9.350000000000001
56	protein1	2.24
56	protein2	5.6000000000000005
56	protein3	9.520000000000001
57	protein1	2.2800000000000002
57	protein2	5.7
57	protein3	9.690000000000001
58	protein1	2.32
58	protein2	5.800000000000001
58	protein3	9.860000000000001
59	protein1	2.36
59	protein2	5.9
59	protein3	10.030000000000001
60	protein1	2.4
60	protein2	6.0
60	protein3	10.200000000000001
61	protein1	2.44
61	protein2	6.1000000000000005
61	protein3	10.370000000000001
62	protein1	2.48
62	protein2	6.2
62	protein3	10.540000000000001
63	protein1	2.52
63	protein2	6.300000000000001
63	protein3	10.71
64	protein1	2.56
64	protein2	6.4
64	protein3	10.88
65	protein1	2.6
65	protein2	6.5
65	protein3	11.05
66	protein1	2.64
66	protein2	6.6000000000000005
66	protein3	11.22
67	protein1	2.68
67	protein2	6.7
67	protein3	11.39
68	protein1	2.72
68	protein2	6.800000000000001
68	protein3	11.56
69	protein1	2.7600000000000002
69	protein2	6.9
69	protein3	11.73
70	protein1	2.8000000000000003
70	protein2	7.0
70	protein3	11.9
71	protein1	2.84
71	protein2	7.1000000000000005
71	protein3	12.07
72	protein1	2.88
72	protein2	7.2
72	protein3	12.24
73	protein1	2.92
73	protein2	7.300000000000001
73	protein3	12.41
74	protein1	2.96
74	protein2	7.4
74	protein3	12.58
75	protein1	3.0
75	protein2	7.5
75	protein3	12.750000000000002
76	protein1	3.04
76	protein2	7.6000000000000005
76	protein3	12.920000000000002
77	protein1	3.08
77	protein2	7.7
77	protein3	13.090000000000002
78	protein1	3.12
78	protein2	7.800000000000001
78	protein3	13.260000000000002
79	protein1	3.16
79	protein2	7.9
79	protein3	13.430000000000001
80	protein1	3.2
80	protein2	8.0
80	protein3	13.600000000000001
81	protein1	3.24
81	protein2	8.1
81	protein3	13.770000000000001
82	protein1	3.2800000000000002
82	protein2	8.200000000000001
82	protein3	13.940000000000001
83	protein1	3.3200000000000003
83	protein2	8.3
83	protein3	14.110000000000001
84	protein1	3.36
84	protein2	8.4
84	protein3	14.280000000000001
85	protein1	3.4
85	protein2	8.5
85	protein3	14.450000000000001
86	protein1	3.44
86	protein2	8.6
86	protein3	14.620000000000001
87	protein1	3.48
87	protein2	8.700000000000001
87	protein3	14.790000000000001
88	protein1	3.52
88	protein2	8.8
88	protein3	14.96
89	protein1	3.56
89	protein2	8.9
89	protein3	15.13
90	protein1	3.6
90	protein2	9.0
90	protein3	15.3
91	protein1	3.64
91	protein2	9.1
91	protein3	15.47
92	protein1	3.68
92	protein2	9.200000000000001
92	protein3	15.64
93	protein1	3.72
93	protein2	9.3
93	protein3	15.81
94	protein1	3.7600000000000002
94	protein2	9.4
94	protein3	15.98
95	protein1	3.8000000000000003
95	protein2	9.5
95	protein3	16.150000000000002
96	protein1	3.84
96	protein2	9.600000000000001
96	protein3	16.32
97	protein1	3.88
97	protein2	9.700000000000001
97	protein3	16.490000000000002
98	protein1	3.92
98	protein2	9.8
98	protein3	16.66
99	protein1	3.96
99	protein2	9.9
99	protein3	16.830000000000002
100	protein1	4.0
100	protein2	10.0
100	protein3	17.0
101	protein1	4.04
101	protein2	10.100000000000001
101	protein3	17.17
102	protein1	4.08
102	protein2	10.200000000000001
102	protein3	17.34
103	protein1	4.12
103	protein2	10.3
103	protein3	17.51
104	protein1	4.16
104	protein2	10.4
104	protein3	17.68
105	protein1	4.2
105	protein2	10.5
105	protein3	17.85
106	protein1	4.24
106	protein2	10.600000000000001
106	protein3	18.02
107	protein1	4.28
107	protein2	10.700000000000001
107	protein3	18.19
108	protein1	4.32
108	protein2	10.8
108	protein3	18.360000000000003
109	protein1	4.36
109	protein2	10.9
109	protein3	18.53
110	protein1	4.4
110	protein2	11.0
