time	species	transcript
1	protein1	0.04
1	protein2	0.11
1	protein3	0.16
2	protein1	0.08
2	protein2	0.22
2	protein3	0.32
3	protein1	0.12
3	protein2	0.33
3	protein3	0.48
4	protein1	0.16
4	protein2	0.44
4	protein3	0.64
5	protein1	0.2
5	protein2	0.55
5	protein3	0.8
6	protein1	0.24
6	protein2	0.66
6	protein3	0.96
7	protein1	0.28
7	protein2	0.77
7	protein3	1.12
8	protein1	0.32
8	protein2	0.88
8	protein3	1.28
9	protein1	0.36
9	protein2	0.99
9	protein3	1.44
10	protein1	0.4
10	protein2	1.1
10	protein3	1.6
11	protein1	0.44
11	protein2	1.21
11	protein3	1.76
12	protein1	0.48
12	protein2	1.32
12	protein3	1.92
13	protein1	0.52
13	protein2	1.43
13	protein3	2.08
14	protein1	0.56
14	protein2	1.54
14	protein3	2.24
15	protein1	0.6
15	protein2	1.65
15	protein3	2.4
16	protein1	0.64
16	protein2	1.76
16	protein3	2.56
17	protein1	0.68
17	protein2	1.87
17	protein3	2.72
18	protein1	0.72
18	protein2	1.98
18	protein3	2.88
19	protein1	0.76
19	protein2	2.09
19	protein3	3.04
20	protein1	0.8
20	protein2	2.2
20	protein3	3.2
21	protein1	0.84
21	protein2	2.31
21	protein3	3.36
22	protein1	0.88
22	protein2	2.42
22	protein3	3.52
23	protein1	0.92
23	protein2	2.53
23	protein3	3.68
24	protein1	0.96
24	protein2	2.64
24	protein3	3.84
25	protein1	1.0
25	protein2	2.75
25	protein3	4.0
26	protein1	1.04
26	protein2	2.86
26	protein3	4.16
27	protein1	1.08
27	protein2	2.97
27	protein3	4.32
28	protein1	1.12
28	protein2	3.08
28	protein3	4.48
29	protein1	1.16
29	protein2	3.19
29	protein3	4.64
30	protein1	1.2
30	protein2	3.3
30	protein3	4.8
31	protein1	1.24
31	protein2	3.41
31	protein3	4.96
32	protein1	1.28
32	protein2	3.52
32	protein3	5.12
33	protein1	1.32
33	protein2	3.63
33	protein3	5.28
34	protein1	1.36
34	protein2	3.74
34	protein3	5.44
35	protein1	1.4000000000000001
35	protein2	3.85
35	protein3	5.6000000000000005
36	protein1	1.44
36	protein2	3.96
36	protein3	5.76
37	protein1	1.48
37	protein2	4.07
37	protein3	5.92
38	protein1	1.52
38	protein2	4.18
38	protein3	6.08
39	protein1	1.56
39	protein2	4.29
39	protein3	6.24
40	protein1	1.6
40	protein2	4.4
40	protein3	6.4
