time	species	transcript
1	protein1	0.1
1	protein2	0.2
1	protein3	0.15
2	protein1	0.2
2	protein2	0.4
2	protein3	0.3
3	protein1	0.3
3	protein2	0.6
3	protein3	0.45
4	protein1	0.4
4	protein2	0.8
4	protein3	0.6
5	protein1	0.5
5	protein2	1
5	protein3	0.75
6	protein1	0.6
6	protein2	1.2
6	protein3	0.9
7	protein1	0.7
7	protein2	1.4
7	protein3	1.05
8	protein1	0.8
8	protein2	1.6
8	protein3	1.2
9	protein1	0.9
9	protein2	1.8
9	protein3	1.35
10	protein1	1
10	protein2	2
10	protein3	1.5
11	protein1	1.1
11	protein2	2.2
11	protein3	1.65
12	protein1	1.2
12	protein2	2.4
12	protein3	1.8
13	protein1	1.3
13	protein2	2.6
13	protein3	1.95
14	protein1	1.4
14	protein2	2.8
14	protein3	2.1
15	protein1	1.5
15	protein2	3
15	protein3	2.25
16	protein1	1.6
16	protein2	3.2
16	protein3	2.4
17	protein1	1.7
17	protein2	3.4
17	protein3	2.55
18	protein1	1.8
18	protein2	3.6
18	protein3	2.7
19	protein1	1.9
19	protein2	3.8
19	protein3	2.85
20	protein1	2
20	protein2	4
20	protein3	3
21	protein1	2.1
21	protein2	4.2
21	protein3	3.15
22	protein1	2.2
22	protein2	4.4
22	protein3	3.3
23	protein1	2.3
23	protein2	4.6
23	protein3	3.45
24	protein1	2.4
24	protein2	4.8
24	protein3	3.6
25	protein1	2.5
25	protein2	5
25	protein3	3.75
26	protein1	2.6
26	protein2	5.2
26	protein3	3.9
27	protein1	2.7
27	protein2	5.4
27	protein3	4.05
28	protein1	2.8
28	protein2	5.6
28	protein3	4.2
29	protein1	2.9
29	protein2	5.8
29	protein3	4.35
30	protein1	3
30	protein2	6
30	protein3	4.5
31	protein1	3.1
31	protein2	6.2
31	protein3	4.65
32	protein1	3.2
32	protein2	6.4
32	protein3	4.8
33	protein1	3.3
33	protein2	6.6
33	protein3	4.95
34	protein1	3.4
34	protein2	6.8
34	protein3	5.1
35	protein1	3.5
35	protein2	7
35	protein3	5.25
36	protein1	3.6
36	protein2	7.2
36	protein3	5.4
37	protein1	3.7
37	protein2	7.4
37	protein3	5.55
38	protein1	3.8
38	protein2	7.6
38	protein3	5.7
39	protein1	3.9
39	protein2	7.8
39	protein3	5.85
40	protein1	4
40	protein2	8
40	protein3	6
41	protein1	4.1
41	protein2	8.2
41	protein3	6.15
42	protein1	4.2
42	protein2	8.4
42	protein3	6.3
43	protein1	4.3
43	protein2	8.6
43	protein3	6.45
44	protein1	4.4
44	protein2	8.8
44	protein3	6.6
45	protein1	4.5
45	protein2	9
45	protein3	6.75
46	protein1	4.6
46	protein2	9.2
46	protein3	6.9
47	protein1	4.7
47	protein2	9.4
47	protein3	7.05
48	protein1	4.8
48	protein2	9.6
48	protein3	7.2
49	protein1	4.9
49	protein2	9.8
